Asset_ID,Facility_ID,Asset_Type,Installation_Date,Power_Consumption_kW,Age_Years
AST-1399,MUM-Zone-A,Router,2021-07-31,89.4,4.8
AST-1400,SIN-Core-01,PDU,2021-07-13,81.14,4.8
AST-1401,SIN-Core-01,UPS,2015-09-04,36.82,10.7
AST-1402,MUM-Zone-A,CRAC,2020-10-04,80.82,5.6
AST-1403,MUM-Zone-A,PDU,2016-05-13,41.46,10.0
AST-1404,FRA-Core-01,Chiller,2021-05-18,34.69,5.0
AST-1405,DXB-Edge-02,Chiller,2017-01-03,97.96,9.4
AST-1406,MUM-Zone-A,UPS,2019-10-29,14.51,6.6
AST-1407,MUM-Zone-A,Fire Panel,2022-04-20,57.95,4.1
AST-1408,LHR-Core-02,Generator,2021-02-04,19.06,5.3
AST-1409,LHR-Core-02,Fire Panel,2018-10-05,31.86,7.6
AST-1410,DXB-Edge-02,CRAC,2015-11-09,94.62,10.5
AST-1411,LHR-Core-02,PDU,2020-03-06,73.94,6.2
AST-1412,DXB-Edge-02,Generator,2019-09-28,41.43,6.6
AST-1413,DXB-Core-01,CRAC,2019-10-03,72.07,6.6
AST-1414,DXB-Edge-02,Router,2015-01-28,32.53,11.3
AST-1415,FRA-Core-01,PDU,2017-02-06,17.75,9.3
AST-1416,DXB-Core-01,Chiller,2015-06-19,96.65,10.9
AST-1417,DXB-Core-01,CRAC,2023-01-18,39.35,3.3
AST-1418,SIN-Core-01,Router,2017-07-09,68.67,8.9
AST-1419,DXB-Core-01,Chiller,2017-06-18,88.15,8.9
AST-1420,LHR-Core-02,Generator,2019-09-27,40.89,6.6
AST-1421,MUM-Zone-A,Fire Panel,2015-05-19,102.71,11.0
AST-1422,MUM-Zone-A,Router,2020-03-31,85.6,6.1
AST-1423,LHR-Core-02,Generator,2018-04-20,115.23,8.1
AST-1424,DXB-Core-01,Fire Panel,2015-11-01,84.26,10.5
AST-1425,FRA-Core-01,Chiller,2016-09-09,59.47,9.7
AST-1426,DXB-Edge-02,Generator,2021-07-02,27.48,4.9
AST-1427,SIN-Core-01,CRAC,2021-06-09,105.41,4.9
AST-1428,DXB-Edge-02,Generator,2019-01-13,106.52,7.3
AST-1429,DXB-Core-01,UPS,2021-08-30,29.01,4.7
AST-1430,SIN-Core-01,Router,2015-04-30,48.71,11.1
AST-1431,MUM-Zone-A,Generator,2022-12-30,55.66,3.4
AST-1432,DXB-Core-01,Fire Panel,2015-10-01,84.04,10.6
AST-1433,DXB-Edge-02,Router,2017-11-04,97.37,8.5
AST-1434,DXB-Edge-02,Chiller,2017-04-30,83.54,9.1
AST-1435,FRA-Core-01,Chiller,2022-08-06,83.49,3.8
AST-1436,MUM-Zone-A,UPS,2021-02-24,54.15,5.2
AST-1437,DXB-Edge-02,Generator,2022-07-03,99.5,3.9
AST-1438,DXB-Edge-02,Router,2019-12-30,11.59,6.4
AST-1439,LHR-Core-02,PDU,2021-11-05,43.06,4.5
AST-1440,FRA-Core-01,CRAC,2021-01-23,69.77,5.3
AST-1441,DXB-Core-01,PDU,2019-04-25,32.72,7.1
AST-1442,MUM-Zone-A,Chiller,2017-10-19,38.94,8.6
AST-1443,FRA-Core-01,UPS,2018-01-28,81.47,8.3
AST-1444,MUM-Zone-A,UPS,2022-10-22,12.82,3.6
AST-1445,SIN-Core-01,PDU,2023-02-09,12.96,3.3
AST-1446,SIN-Core-01,Router,2016-01-21,110.1,10.3
AST-1447,DXB-Edge-02,Fire Panel,2021-08-06,77.42,4.8
AST-1448,SIN-Core-01,UPS,2022-02-09,11.75,4.3
AST-1449,DXB-Core-01,Chiller,2022-11-14,22.74,3.5
AST-1450,MUM-Zone-A,Router,2015-11-15,70.56,10.5
AST-1451,FRA-Core-01,Chiller,2018-02-09,47.67,8.3
AST-1452,MUM-Zone-A,Router,2019-11-20,85.49,6.5
AST-1453,LHR-Core-02,CRAC,2022-03-20,81.46,4.2
AST-1454,MUM-Zone-A,Chiller,2018-01-31,19.05,8.3
AST-1455,LHR-Core-02,PDU,2019-04-25,97.17,7.1
AST-1456,MUM-Zone-A,UPS,2020-05-17,24.12,6.0
AST-1457,MUM-Zone-A,PDU,2022-06-30,33.98,3.9
AST-1458,DXB-Edge-02,Fire Panel,2021-05-27,45.84,5.0
AST-1459,DXB-Edge-02,PDU,2017-09-15,43.3,8.7
AST-1460,FRA-Core-01,Chiller,2020-09-04,92.46,5.7
AST-1461,SIN-Core-01,CRAC,2018-01-01,112.98,8.4
AST-1462,SIN-Core-01,Fire Panel,2022-04-29,82.43,4.1
AST-1463,DXB-Edge-02,Fire Panel,2021-07-26,45.5,4.8
AST-1464,DXB-Core-01,CRAC,2017-03-24,16.74,9.2
AST-1465,MUM-Zone-A,Generator,2018-03-04,54.16,8.2
AST-1466,SIN-Core-01,Fire Panel,2021-12-16,32.02,4.4
AST-1467,FRA-Core-01,Fire Panel,2021-06-05,16.72,5.0
AST-1468,FRA-Core-01,Router,2021-09-17,52.75,4.7
AST-1469,LHR-Core-02,PDU,2017-09-05,45.27,8.7
AST-1470,DXB-Core-01,UPS,2015-12-06,87.2,10.5
AST-1471,LHR-Core-02,Generator,2015-10-23,43.0,10.6
AST-1472,DXB-Core-01,CRAC,2018-12-24,76.98,7.4
AST-1473,MUM-Zone-A,Generator,2016-03-23,87.42,10.2
AST-1474,FRA-Core-01,Fire Panel,2015-10-31,43.51,10.5
AST-1475,DXB-Edge-02,Router,2015-11-09,57.33,10.5
AST-1476,MUM-Zone-A,PDU,2017-02-03,29.18,9.3
AST-1477,FRA-Core-01,Fire Panel,2017-08-14,88.96,8.8
AST-1478,FRA-Core-01,Chiller,2020-09-03,23.74,5.7
AST-1479,DXB-Core-01,Router,2022-12-31,88.79,3.4
AST-1480,LHR-Core-02,UPS,2019-07-26,113.21,6.8
AST-1481,LHR-Core-02,Chiller,2018-02-24,89.52,8.2
AST-1482,DXB-Core-01,CRAC,2021-03-19,54.4,5.2
AST-1483,LHR-Core-02,Fire Panel,2016-04-19,36.15,10.1
AST-1484,DXB-Core-01,UPS,2019-03-27,32.28,7.1
AST-1485,DXB-Edge-02,CRAC,2021-07-19,102.34,4.8
AST-1486,DXB-Edge-02,Router,2017-07-11,62.8,8.9
AST-1487,FRA-Core-01,Fire Panel,2016-11-19,25.84,9.5
AST-1488,DXB-Core-01,UPS,2020-10-12,77.25,5.6
AST-1489,MUM-Zone-A,UPS,2021-12-25,38.41,4.4
AST-1490,FRA-Core-01,UPS,2021-09-08,94.04,4.7
AST-1491,DXB-Edge-02,Chiller,2017-07-15,107.77,8.8
AST-1492,SIN-Core-01,Fire Panel,2017-06-04,48.51,9.0
AST-1493,DXB-Core-01,PDU,2015-10-07,94.6,10.6
AST-1494,DXB-Edge-02,Generator,2018-06-03,45.9,8.0
AST-1495,SIN-Core-01,PDU,2015-11-18,35.21,10.5
AST-1496,FRA-Core-01,Generator,2015-01-16,28.27,11.3
AST-1497,SIN-Core-01,UPS,2023-02-07,44.92,3.3
AST-1498,DXB-Edge-02,Generator,2018-04-19,42.63,8.1
AST-1499,DXB-Edge-02,CRAC,2020-01-22,111.81,6.3
AST-1500,SIN-Core-01,Chiller,2017-03-02,102.78,9.2
